Vivado Simulator 2020.1
Time resolution is 1 ps
Time | State | ALUctl | ALUout | Zero | x1 | x2 | x3 | x4 | x31 | x11
0 | xxxx   | 0000    | 00000000  | 1   | 00000000 | 00000000 | 00000000 | 00000000 | 00000000 | 00000000
20000 | 0000   | 0000    | 00000000  | 1   | 00000000 | 00000000 | 00000000 | 00000000 | 00000000 | 00000000
25000 | 0001   | 0000    | 00000000  | 1   | 00000000 | 00000000 | 00000000 | 00000000 | 00000000 | 00000000
35000 | 0001   | 0000    | 00000000  | 1   | 10101010 | 00000000 | 00000000 | 00000000 | 00000000 | 00000000
45000 | 0001   | 0000    | 00000000  | 1   | 10101010 | 01010101 | 00000000 | 00000000 | 00000000 | 00000000
55000 | 0001   | 0000    | 00000000  | 1   | 10101010 | 01010101 | 00000005 | 00000000 | 00000000 | 00000000
65000 | 0010   | 0000    | 00000000  | 1   | 10101010 | 01010101 | 00000005 | 00000000 | 00000000 | 00000000
75000 | 0010   | 0010    | 11111111  | 0   | 10101010 | 01010101 | 00000005 | 00000000 | 00000000 | 00000000
85000 | 0010   | 0010    | 11111111  | 0   | 10101010 | 01010101 | 00000005 | 11111111 | 00000000 | 00000000
95000 | 0010   | 0110    | 0f0f0f0f  | 0   | 10101010 | 01010101 | 00000005 | 11111111 | 00000000 | 00000000
105000 | 0010   | 0000    | 00000000  | 1   | 10101010 | 01010101 | 00000005 | 11111111 | 00000000 | 00000000
115000 | 0010   | 0001    | 11111111  | 0   | 10101010 | 01010101 | 00000005 | 11111111 | 00000000 | 00000000
125000 | 0010   | 1010    | 11111111  | 0   | 10101010 | 01010101 | 00000005 | 11111111 | 00000000 | 00000000
135000 | 0010   | 1000    | 20202020  | 0   | 10101010 | 01010101 | 00000005 | 11111111 | 00000000 | 00000000
145000 | 0010   | 1001    | 08080808  | 0   | 10101010 | 01010101 | 00000005 | 11111111 | 00000000 | 00000000
155000 | 0011   | 1001    | 08080808  | 0   | 10101010 | 01010101 | 00000005 | 11111111 | 00000000 | 00000000
165000 | 0011   | 0110    | 00000000  | 1   | 10101010 | 01010101 | 00000005 | 11111111 | 00000000 | 00000000
175000 | 0011   | 0110    | 00000000  | 1   | 10101010 | 01010101 | 00000005 | 11111111 | 00000001 | 00000000
185000 | 0100   | 0110    | 00000000  | 1   | 10101010 | 01010101 | 00000005 | 11111111 | 00000001 | 00000000
195000 | 0100   | 0110    | 00000000  | 1   | 10101010 | 01010101 | 00000005 | 11111111 | 00000001 | a5a5a5a5
205000 | 0100   | 0110    | a5a5a5a0  | 0   | 10101010 | 01010101 | 00000005 | 11111111 | 00000001 | a5a5a5a5
215000 | 0101   | 0110    | a5a5a5a0  | 0   | 10101010 | 01010101 | 00000005 | 11111111 | 00000001 | a5a5a5a5
Simulation finished.
$stop called at time : 225 ns : File "C:/Users/hira6/Downloads/lab la - Copy - Copy/project_1/project_1.srcs/sim_1/new/tb.v" Line 154
